No,区分,単語数,キーワード,SEO難易度,月間検索数,CPC ($),競合性,出現時期
1,＋,2,車中泊 防災,null,null,null,null,null
2,＋,2,車中泊 防災グッズ,null,null,null,null,null
3,＋,2,車中泊 防災セット,null,null,null,null,null
4,＋,4,アイリスプラザ 車中泊 防災グッズ マットレス,null,null,null,null,null
5,＋,3,ニトリ 車中泊 防災セット,null,null,null,null,null
6,＋,3,ニトリ 車中泊 防災,null,null,null,null,null
7,＋,2,防災基本計画 車中泊,null,null,null,null,null
8,＋,3,山善 防災バッグ 車中泊,null,null,null,null,null
9,＋,3,車中泊 防災 グッズ,null,null,null,null,null
10,＋＋,15,アイリスプラザ 車中泊 防災グッズ マットレス コンパクト レジャー 災害グッズ 丸めて 寝袋 高反発 × 低反発 厚4cm 長180cm ブラウン,null,null,null,null,null
11,＋＋,5,アイリスプラザ 車中泊 防災グッズ マットレス コンパクト,null,null,null,null,null
12,＋＋,6,アイリスプラザ 車中泊 防災グッズ マットレス コンパクト レジャー,null,null,null,null,null
